"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4679","Debe renderizar correctamente en varias resoluciones de escritorio","","Sat Jan 24 22:12:56 GMT-03:00 2026","passed","Sat Jan 24 22:13:01 GMT-03:00 2026","","Validación IDECABA - Desktop","",""
"","524","Debe mostrar escala de zoom, boton de login, boton del portal","","Sat Jan 24 22:12:18 GMT-03:00 2026","passed","Sat Jan 24 22:12:18 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","508","No debe mostrar los botones del lado izquierdo como: impresion, herramientas de dibujo, medicion, ubicacion, edicion y borrado capas temporales y mapas","","Sat Jan 24 22:12:19 GMT-03:00 2026","passed","Sat Jan 24 22:12:20 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","590","Validar iconos de HOME","","Sat Jan 24 22:12:30 GMT-03:00 2026","passed","Sat Jan 24 22:12:30 GMT-03:00 2026","","Validación IDECABA - Desktop","",""
"","3007","Validar la barra de capas""","","Sat Jan 24 22:12:53 GMT-03:00 2026","passed","Sat Jan 24 22:12:56 GMT-03:00 2026","","Validación IDECABA - Desktop","",""
"","597","No debe mostrar los boton de  normativa, intitucionalidad, tutoriales, contacto","","Sat Jan 24 22:12:19 GMT-03:00 2026","passed","Sat Jan 24 22:12:19 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","9115","Verificacion","","Sat Jan 24 22:13:10 GMT-03:00 2026","passed","Sat Jan 24 22:13:19 GMT-03:00 2026","","Capas Temporales","",""
"","373","Debe mostrar Solo los botones capas, mas informacion y boton regresar","","Sat Jan 24 22:12:17 GMT-03:00 2026","passed","Sat Jan 24 22:12:18 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","4356","Debe renderizar correctamente en varias resoluciones móviles","","Sat Jan 24 22:12:20 GMT-03:00 2026","passed","Sat Jan 24 22:12:24 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","22464","Validacion de búsquedas ","","Sat Jan 24 22:12:31 GMT-03:00 2026","passed","Sat Jan 24 22:12:53 GMT-03:00 2026","","Validación IDECABA - Desktop","",""
"","8369","Validar que se descarguen las capas en distintos formatos","","Sat Jan 24 22:13:21 GMT-03:00 2026","passed","Sat Jan 24 22:13:29 GMT-03:00 2026","","Descargas de capas","",""
"","4259","Capas publicas","","Sat Jan 24 22:13:03 GMT-03:00 2026","passed","Sat Jan 24 22:13:08 GMT-03:00 2026","","Barra de busqueda de capas y de direcciones","",""
"","3063","Debe mostrar la barra lateral y el buscador en modo móvil","","Sat Jan 24 22:12:14 GMT-03:00 2026","passed","Sat Jan 24 22:12:17 GMT-03:00 2026","","Validación responsive IDECABA - Mobile","",""
"","5508","Validar Barra lateral Izquierda","","Sat Jan 24 22:12:24 GMT-03:00 2026","passed","Sat Jan 24 22:12:30 GMT-03:00 2026","","Validación IDECABA - Desktop","",""
